"","Total.Passing.Vehicle.Volume","Longitude","Latitude"
"1",18800,-87.676043,41.859378
"2",8300,-87.622471,41.863938
"3",6100,-87.62228,41.85566
"4",20600,-87.624115,41.865924
"5",23100,-87.62733,41.863436
"6",29300,-87.666676,41.876934
"7",38700,-87.66656,41.872567
"8",38300,-87.666256,41.861874
"9",13600,-87.630632,41.873009
"10",22600,-87.630511,41.869893
"11",23000,-87.630255,41.861478
"12",14800,-87.630176,41.855964
"13",15600,-87.647091,41.87346
"14",13400,-87.646862,41.865313
"15",4200,-87.661484,41.863965
"16",5300,-87.661264,41.855898
"17",10700,-87.656729,41.86852
"18",5400,-87.656597,41.864029
"19",8500,-87.632821,41.85774
"20",8100,-87.624476,41.857869
"21",3800,-87.622993,41.85789
"22",5200,-87.660062,41.859146
"23",28200,-87.668106,41.86686
"24",31600,-87.647525,41.867145
"25",41300,-87.638052,41.867266
"26",33200,-87.625406,41.867439
"27",10500,-87.624836,41.873149
"28",12400,-87.620591,41.873213
"29",37900,-87.620509,41.869368
"30",7900,-87.676455,41.874043
"31",10600,-87.670619,41.874122
"32",8800,-87.665037,41.874199
"33",15000,-87.652225,41.87436
"34",5900,-87.627297,41.87438
"35",11000,-87.646119,41.874327
"36",4800,-87.64217,41.866652
"37",6400,-87.642397,41.873569
"38",8900,-87.633321,41.872155
"39",2400,-87.619095,41.855226
"40",15600,-87.639626,41.875514
"41",7300,-87.640956,41.874389
"42",37800,-87.620401,41.867512
"43",7800,-87.62919,41.873925
"44",6300,-87.643862,41.873531
"45",9100,-87.62598,41.873661
"46",11500,-87.625851,41.86832
"47",4200,-87.633488,41.869272
"48",20100,-87.671635,41.876773
"49",165200,-87.617934,41.860562
"50",19900,-87.666819,41.880815
"51",31700,-87.666752,41.879119
"52",8800,-87.644062,41.879863
"53",34400,-87.667335,41.897607
"54",9700,-87.663033,41.885403
"55",23000,-87.630189,41.896651
"56",18400,-87.630017,41.893244
"57",76700,-87.630878,41.875606
"58",17400,-87.67335,41.895971
"59",7400,-87.628624,41.87691
"60",10100,-87.628405,41.878174
"61",11200,-87.628325,41.879452
"62",13000,-87.626654,41.880775
"63",11500,-87.628403,41.882024
"64",13700,-87.628288,41.885747
"65",14300,-87.628926,41.883215
"66",18000,-87.628798,41.884485
"67",5500,-87.668568,41.877595
"68",6600,-87.665993,41.877635
"69",17600,-87.618837,41.878356
"70",3500,-87.674129,41.87878
"71",12700,-87.627549,41.883218
"72",6900,-87.675556,41.885023
"73",19600,-87.675563,41.890846
"74",27600,-87.647745,41.896397
"75",17100,-87.665698,41.896097
"76",12800,-87.66515,41.899743
"77",18100,-87.623095,41.89675
"78",11900,-87.620252,41.896787
"79",10500,-87.633902,41.876846
"80",11500,-87.629219,41.874957
"81",33600,-87.676475,41.874597
"82",7700,-87.632267,41.878543
"83",6300,-87.644032,41.878908
"84",11600,-87.641098,41.878904
"85",12100,-87.639575,41.878519
"86",11600,-87.633752,41.87909
"87",16500,-87.630811,41.879069
"88",17900,-87.629312,41.878484
"89",13800,-87.642755,41.880547
"90",19000,-87.644644,41.883162
"91",14200,-87.633278,41.891595
"92",9100,-87.642619,41.880549
"93",12500,-87.657007,41.876982
"94",10900,-87.626108,41.879007
"95",39000,-87.624351,41.879529
"96",30100,-87.620705,41.878842
"97",20300,-87.676747,41.885313
"98",20300,-87.647485,41.886044
"99",11100,-87.64944,41.892395
"100",7400,-87.626772,41.893693
"101",23100,-87.647818,41.897792
"102",16500,-87.631275,41.897747
"103",5900,-87.659747,41.882936
"104",6000,-87.658216,41.88422
"105",23100,-87.628117,41.893306
"106",39000,-87.63265,41.893609
"107",16400,-87.629699,41.893431
"108",21200,-87.631177,41.89363
"109",9400,-87.634114,41.89337
"110",22800,-87.632438,41.885449
"111",8200,-87.626269,41.88535
"112",14100,-87.629469,41.884893
"113",14500,-87.630954,41.885107
"114",10600,-87.633916,41.885249
"115",16800,-87.635389,41.884874
"116",8300,-87.642746,41.8848
"117",7300,-87.644242,41.885696
"118",18800,-87.676739,41.884983
"119",4500,-87.644365,41.891012
"120",14100,-87.66496,41.90238
"121",10700,-87.620359,41.896368
"122",14100,-87.631399,41.902199
"123",62700,-87.628433,41.875633
"124",18800,-87.628113,41.891671
"125",13000,-87.630742,41.876698
"126",20100,-87.627665,41.891676
"127",37700,-87.634088,41.892388
"128",12400,-87.66285,41.881522
"129",12100,-87.639674,41.881585
"130",21200,-87.636735,41.8807
"131",42500,-87.666487,41.870413
"132",14600,-87.634482,41.883208
"133",9500,-87.649602,41.883107
"134",16300,-87.634063,41.891353
"135",9900,-87.633811,41.881401
"136",9500,-87.659605,41.857903
"137",31400,-87.676347,41.8702
"138",25300,-87.647091,41.87346
"139",14400,-87.656828,41.871676
"140",3800,-87.658396,41.879037
"141",11700,-87.641796,41.879284
"142",16400,-87.634436,41.879377
"143",5100,-87.652799,41.879125
"144",30500,-87.667289,41.89604
"145",35700,-87.666676,41.876934
"146",18900,-87.67336,41.899615
"147",10200,-87.639827,41.885079
"148",25500,-87.653604,41.896292
"149",20700,-87.631064,41.889469
"150",20400,-87.630642,41.873368
"151",15500,-87.630875,41.881592
"152",17300,-87.631157,41.892773
"153",25800,-87.630476,41.869119
"154",6900,-87.641298,41.8852
"155",11500,-87.64115,41.880534
"156",37000,-87.620556,41.87138
"157",72400,-87.630673,41.875611
"158",40700,-87.626134,41.875684
"159",15600,-87.677026,41.895021
"160",21500,-87.676545,41.877446
"161",18200,-87.676677,41.88276
"162",16100,-87.629599,41.889784
"163",18500,-87.629368,41.880734
"164",19700,-87.66523,41.891001
"165",16400,-87.62091,41.891791
"166",19000,-87.647604,41.892362
"167",20400,-87.647211,41.876932
"168",20000,-87.64745,41.884845
"169",11900,-87.643682,41.877989
"170",11300,-87.634405,41.878111
"171",8600,-87.652996,41.877853
"172",14100,-87.649854,41.885625
"173",32300,-87.632548,41.890186
"174",16200,-87.632336,41.880972
"175",10500,-87.668678,41.881427
"176",15800,-87.65456,41.881657
"177",17400,-87.642708,41.881836
"178",21600,-87.624114,41.866034
"179",22500,-87.623968,41.859365
"180",33100,-87.624218,41.873905
"181",46500,-87.624349,41.881365
"182",42200,-87.624231,41.893982
"183",20900,-87.656489,41.894073
"184",32800,-87.630272,41.892439
"185",12300,-87.621433,41.892579
"186",11300,-87.657103,41.880487
"187",18500,-87.634637,41.884466
"188",9300,-87.650176,41.884359
"189",18200,-87.643422,41.884431
"190",22400,-87.627233,41.859198
"191",21100,-87.628206,41.896924
"192",31400,-87.627576,41.873424
"193",10500,-87.648742,41.87665
"194",8800,-87.626681,41.890636
"195",9200,-87.626189,41.88133
"196",14700,-87.636914,41.878077
"197",29900,-87.630054,41.886817
"198",23800,-87.637068,41.884486
"199",4500,-87.668041,41.882362
"200",38700,-87.666307,41.863688
"201",28900,-87.67545,41.866765
"202",26800,-87.659,41.866958
"203",19000,-87.645288,41.891218
"204",13200,-87.63502,41.885733
"205",13400,-87.621457,41.893383
"206",13100,-87.65648,41.859764
"207",44000,-87.624537,41.887944
"208",18200,-87.624601,41.888071
"209",10400,-87.626842,41.888062
"210",19700,-87.628001,41.887471
"211",16600,-87.629531,41.886932
"212",18700,-87.631008,41.886935
"213",26900,-87.632484,41.886928
"214",12200,-87.633964,41.886932
"215",12600,-87.635441,41.886855
"216",15000,-87.636864,41.885725
"217",18500,-87.637906,41.884455
"218",17000,-87.638103,41.883192
"219",17100,-87.638745,41.881895
"220",16000,-87.638285,41.880605
"221",14300,-87.636437,41.879353
"222",14300,-87.637659,41.878068
"223",10200,-87.639623,41.876771
"224",4900,-87.636323,41.876342
"225",32000,-87.636377,41.876142
"226",9700,-87.635138,41.875561
"227",9900,-87.633684,41.876584
"228",2800,-87.633082,41.87559
"229",2100,-87.631755,41.876358
"230",2000,-87.629701,41.875841
"231",15100,-87.629253,41.876483
"232",3500,-87.628733,41.876735
"233",24200,-87.627651,41.876904
"234",9600,-87.626044,41.876452
"235",33500,-87.624273,41.876241
"236",7500,-87.623366,41.876222
"237",7900,-87.622407,41.87831
"238",13500,-87.622687,41.88085
"239",19900,-87.623595,41.884434
"240",4600,-87.622306,41.885784
"241",10600,-87.623929,41.88673
"242",5800,-87.621577,41.886919
"243",15200,-87.62409,41.888169
"244",34200,-87.623405,41.888302
